Topic,Topic Notes,Metric,Metric Notes,Sitting year,Sitting period,Value
Other opportunities for private Members (days occurring),,Adjournment motion debated in House,,2014,Spring,28
Other opportunities for private Members (days occurring),,Adjournment motion debated in Federation Chamber,,2014,Spring,8
Other opportunities for private Members (days occurring),,Grievance debate called on and debated,,2014,Spring,6
Other opportunities for private Members (days occurring),,Matters of public importance discussed,,2014,Spring,23
Closures and divisions,,Closure of Member agreed to,,2014,Autumn,8
Closures and divisions,,Closure of question agreed to,,2014,Autumn,6
Closures and divisions,,Divisions,,2014,Autumn,37
Closures and divisions,,Closure of Member agreed to,,2014,Winter,4
Closures and divisions,,Closure of question agreed to,,2014,Winter,17
Closures and divisions,,Divisions,,2014,Winter,75
Closures and divisions,,Closure of Member agreed to,,2014,Spring,10
Closures and divisions,,Closure of question agreed to,,2014,Spring,19
Closures and divisions,,Divisions,,2014,Spring,66
Parliamentary committees,,Reports presented,,2014,Autumn,19
Parliamentary committees,,Reports presented,,2014,Winter,26
Parliamentary committees,,Reports presented,,2014,Spring,54
Petitions,,Petitions presented,,2014,Autumn,25
Petitions,,Signatures to petitions,,2014,Autumn,"1,251,499"
Petitions,,Ministerial responses presented,,2014,Autumn,10
Petitions,,Petitions presented,,2014,Winter,29
Petitions,,Signatures to petitions,,2014,Winter,"82,007"
Petitions,,Ministerial responses presented,,2014,Winter,28
Petitions,,Petitions presented,,2014,Spring,50
Petitions,,Signatures to petitions,,2014,Spring,"106,764"
Petitions,,Ministerial responses presented,,2014,Spring,29
Questions,,Questions in writing (placed on Notice Paper),,2014,Autumn,59
Questions,,Oral questions (without notice),,2014,Autumn,392
Questions,,Average number of oral questions asked for each sitting day on which question time occurred,,2014,Autumn,20.6
Questions,,Questions in writing (placed on Notice Paper),,2014,Winter,156
Questions,,Oral questions (without notice),,2014,Winter,474
Questions,,Average number of oral questions asked for each sitting day on which question time occurred,,2014,Winter,20.6
Questions,,Questions in writing (placed on Notice Paper),,2014,Spring,429
Questions,,Oral questions (without notice),,2014,Spring,567
Questions,,Average number of oral questions asked for each sitting day on which question time occurred,,2014,Spring,19.5
